unique_item_no_A,images_atypical,plots_with_labels_A,colour,instructions
1A,1_spice_A_hi.png,all_plots/1_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
2A,2_spice_A_hi.png,all_plots/2_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
3A,3_spice_A_hi.png,all_plots/3_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
4A,4_spice_A_hi.png,all_plots/4_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
5A,5_spice_A_hi.png,all_plots/5_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
6A,6_spice_A_hi.png,all_plots/6_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
7A,7_spice_A_hi.png,all_plots/7_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
8A,8_spice_A_hi.png,all_plots/8_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
9A,9_spice_A_hi.png,all_plots/9_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
10A,10_spice_A_hi.png,all_plots/10_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
11A,11_spice_A_hi.png,all_plots/11_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
12A,12_spice_A_hi.png,all_plots/12_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
13A,13_spice_A_hi.png,all_plots/13_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
14A,14_spice_A_hi.png,all_plots/14_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
15A,15_spice_A_hi.png,all_plots/15_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
16A,16_spice_A_hi.png,all_plots/16_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
17A,17_spice_A_hi.png,all_plots/17_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
18A,18_spice_A_hi.png,all_plots/18_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
19A,19_spice_A_hi.png,all_plots/19_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
20A,20_spice_A_hi.png,all_plots/20_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
21A,21_spice_A_hi.png,all_plots/21_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
22A,22_spice_A_hi.png,all_plots/22_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
23A,23_spice_A_hi.png,all_plots/23_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
24A,24_spice_A_hi.png,all_plots/24_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
25A,25_spice_A_hi.png,all_plots/25_spice_A_hi.png,black,Please look at the following plot and use the slider to estimate the correlation
