,user_token,topic,vis_condition,post_clarity_0,post_clarity_1,post_clarity_2,post_clarity_3,post_clarity_ansT,post_clarity_start,post_correctness_0,post_correctness_1,post_correctness_2,post_correctness_ansT,post_correctness_start,post_topicInv_0,post_topicInv_1,post_topicInv_2,post_topicInv_3,post_topicInv_ansT,post_topicInv_start,post_CI_lower,post_CI_upper,post_attitude,pre_clarity_0,pre_clarity_1,pre_clarity_2,pre_clarity_3,pre_clarity_ansT,pre_clarity_start,pre_correctness_0,pre_correctness_1,pre_correctness_2,pre_correctness_ansT,pre_correctness_start,pre_topicInv_0,pre_topicInv_1,pre_topicInv_2,pre_topicInv_3,pre_topicInv_ansT,pre_topicInv_start,pre_CI_lower,pre_CI_upper,pre_attitude,pre_clarity,pre_correctness,pre_topic_involvement,post_clarity,post_correctness,post_topic_involvement,pre_attitude_adjusted,pre_attitude_strength,pre_attitude_uncertainty,post_attitude_adjusted,post_attitude_strength,post_attitude_uncertainty,attitude_difference,abs_attitude_difference,att_uncertainty_difference,abs_att_uncertainty_difference,mean_belief_change,mean_pre_belief_distance,mean_belief_uncertainty_change,count_vars,belief_diff_pre_belief_dist_mean,defensive_confidence,EB-feel,EB-evidence,EB-political
0,4716eeb7-d35f-4745-aaa0-b3b89669e338,covid,hop,9,9,8,9,1721,1.64764E+12,9,9,9,1246,1.64764E+12,4,5,5,5,1305,1.64764E+12,1,8.940395522,8.970764662,9,9,9,9,1435,1.64764E+12,9,9,9,1190,1.64764E+12,4,5,5,5,3407,1.64764E+12,1,8.917618668,8.985949231,9,9,19,8.75,9,19,3.985949231,3.985949231,7.917618668,3.970764662,3.970764662,7.940395522,-0.01518457,0.01518457,0.022776854,0.022776854,0.458987973,0.463217746,-0.067161803,6,1.131985609,37,3.5,4,4.25
1,4716eeb7-d35f-4745-aaa0-b3b89669e338,union,hop,7,7,7,7,1003,1.64764E+12,7,7,7,2397,1.64764E+12,4,4,5,5,1516,1.64764E+12,8.545597175,8.727812011,8.636704593,4,6,4,6,1833,1.64764E+12,6,6,6,2242,1.64764E+12,2,2,5,5,2650,1.64764E+12,8.492451645,8.84169582,8.667073733,5,6,14,7,7,18,3.667073733,3.667073733,0.349244175,3.636704593,3.636704593,0.182214836,-0.030369139,0.030369139,-0.167029339,0.167029339,0.465569611,0.457054239,-0.207726672,6,1.062811,37,3.5,4,4.25
2,cf4ca333-21e7-4d43-8ae4-69c026f32429,covid,scatter,9,9,9,9,6112,1.64764E+12,7,7,6,1825,1.64764E+12,4,4,5,5,1747,1.64764E+12,8.940627422,8.972506653,8.956567038,9,9,9,9,1436,1.64764E+12,7,7,7,1415,1.64764E+12,4,4,5,5,2335,1.64764E+12,,,8.956567038,9,7,18,9,6.666666667,18,3.956567038,3.956567038,,3.956567038,3.956567038,0.031879232,0,0,,,0.287374553,0.392386032,-0.156410252,6,0.726537307,41,2.75,4.25,4
3,cf4ca333-21e7-4d43-8ae4-69c026f32429,union,scatter,8,8,7,9,2982,1.64764E+12,7,6,6,2834,1.64764E+12,3,3,4,5,1601,1.64764E+12,7.936431627,8.19146548,8.063948554,7,7,8,9,1406,1.64764E+12,7,8,6,1729,1.64764E+12,3,3,3,4,1730,1.64764E+12,7.800944893,8.34289183,8.071918361,7.75,7,13,8,6.333333333,15,3.071918361,3.071918361,0.541946937,3.063948554,3.063948554,0.255033853,-0.007969808,0.007969808,-0.286913084,0.286913084,0.105258612,0.127009636,-0.958836086,6,2.700593643,41,2.75,4.25,4
4,c37d9467-2551-419d-a9ae-b00353e23c98,union,scatter,7,7,7,7,2053,1.64764E+12,7,7,7,1321,1.64764E+12,3,2,4,4,788,1.64764E+12,6.533819212,8.625390832,7.579605022,3,8,8,8,1162,1.64764E+12,6,5,5,919,1.64764E+12,3,2,4,4,1576,1.64764E+12,5.000000024,7.330608401,6.165304213,6.75,5.333333333,13,7,7,13,1.165304213,1.165304213,2.330608377,2.579605022,2.579605022,2.09157162,1.41430081,1.41430081,-0.239036757,0.239036757,0.133217591,0.167590089,0.009175421,6,0.847435361,44,3,3.75,2.75
5,c37d9467-2551-419d-a9ae-b00353e23c98,covid,scatter,8,8,8,8,1604,1.64764E+12,8,8,8,1697,1.64764E+12,4,4,4,4,909,1.64764E+12,7.440166914,8.515832319,7.977999617,8,8,8,8,861,1.64764E+12,8,8,8,909,1.64764E+12,4,4,4,4,725,1.64764E+12,7.340568266,8.635350697,7.987959481,8,8,16,8,8,16,2.987959481,2.987959481,1.294782431,2.977999617,2.977999617,1.075665405,-0.009959865,0.009959865,-0.219117027,0.219117027,0.436893887,0.494170043,-0.111683753,6,0.819633156,44,3,3.75,2.75
6,69324df5-f807-47fe-8dd0-8a7db9b76270,covid,uncertainty,9,9,9,9,915,1.64765E+12,6,7,8,797,1.64765E+12,4,5,4,5,782,1.64765E+12,1,8.894307183,8.964026237,9,9,9,9,1004,1.64765E+12,9,9,8,779,1.64765E+12,5,3,5,5,814,1.64765E+12,1,8.914226913,8.964026237,9,8.666666667,18,9,7,18,3.964026237,3.964026237,7.914226913,3.964026237,3.964026237,7.894307183,0,0,-0.01991973,0.01991973,0.602270434,0.614721008,0.032239693,6,0.946277391,52,3.75,4,2.5
7,69324df5-f807-47fe-8dd0-8a7db9b76270,union,uncertainty,5,5,5,5,1040,1.64765E+12,3,1,4,827,1.64765E+12,2,1,3,3,719,1.64765E+12,3.944254349,6.075665429,5.009959889,6,5,5,5,785,1.64765E+12,5,3,4,1117,1.64765E+12,3,1,2,3,740,1.64765E+12,6.493979753,8.306675157,7.400327455,5.25,4,9,5,2.666666667,9,2.400327455,2.400327455,1.812695404,0.009959889,0.009959889,2.131411079,-2.390367566,2.390367566,0.318715675,0.318715675,0.32390894,0.362416152,0.035034898,6,0.788130858,52,3.75,4,2.5
8,9657d2f0-6797-4738-bd16-9413e216ea69,union,uncertainty,8,8,8,8,1217,1.64765E+12,7,7,8,1783,1.64765E+12,4,3,5,5,1466,1.64765E+12,8.344671063,8.943958397,8.64431473,8,8,8,8,1398,1.64765E+12,8,8,8,1583,1.64765E+12,5,3,5,5,2131,1.64765E+12,1,8.150307604,8.781988848,8,8,18,8,7.333333333,17,3.781988848,3.781988848,7.150307604,3.64431473,3.64431473,0.599287334,-0.137674117,0.137674117,-6.55102027,6.55102027,0.240600998,0.249487571,-0.116970906,6,2.044518867,47,3.5,4.75,1.5
9,9657d2f0-6797-4738-bd16-9413e216ea69,covid,uncertainty,9,9,9,9,2118,1.64765E+12,9,9,9,1283,1.64765E+12,5,5,5,5,1167,1.64765E+12,1,8.90346601,8.976352307,9,9,9,9,1666,1.64765E+12,8,6,8,1499,1.64765E+12,5,5,5,5,1432,1.64765E+12,1,8.887269055,8.984450785,9,7.333333333,20,9,9,20,3.984450785,3.984450785,7.887269055,3.976352307,3.976352307,7.90346601,-0.008098477,0.008098477,0.016196955,0.016196955,0.41030252,0.457117902,0.036583181,6,0.869135748,47,3.5,4.75,1.5
