,user_token,topic,post_belief,post_CI_lower,post_CI_upper,var,true_correlation,vis_condition,pre_belief,pre_CI_lower,pre_CI_upper,belief_difference,abs_belief_difference,pre_uncertainty,post_uncertainty,uncertainty_difference,abs_uncertainty_difference,pre_belief_distance,abs_pre_belief_distance,abs_belief_diff_to_belief_dist_portion,pre_attitude,post_attitude,pre_attitude_adjusted,pre_attitude_strength,post_attitude_adjusted,post_attitude_strength,pre_attitude_uncertainty,post_attitude_uncertainty
0,4716eeb7-d35f-4745-aaa0-b3b89669e338,covid,0.118437998,0.016089086,0.22078691,Vaccination Rate_Adverse Vaccination Events,0.141784191,hop,-0.691436123,-0.839015569,-0.543856677,0.809874121,0.809874121,0.295158892,0.204697824,-0.090461068,0.090461068,0.833220314,0.833220314,0.971980768,8.985949231,8.970764662,3.985949231,3.985949231,3.970764662,3.970764662,7.917618668,7.940395522
1,4716eeb7-d35f-4745-aaa0-b3b89669e338,covid,-0.630990604,-0.690106099,-0.571875109,Vaccination Rate_Test Positivity Ratio,-0.543364649,hop,-0.460017744,-0.59440945,-0.325626038,-0.17097286,0.17097286,0.268783412,0.11823099,-0.150552422,0.150552422,-0.083346905,0.083346905,2.051340234,8.985949231,8.970764662,3.985949231,3.985949231,3.970764662,3.970764662,7.917618668,7.940395522
2,4716eeb7-d35f-4745-aaa0-b3b89669e338,covid,-0.713411673,-0.759368812,-0.667454535,Vaccination Rate_Death Rate,-0.687874271,hop,-0.873596881,-0.929750431,-0.817443332,0.160185208,0.160185208,0.112307099,0.091914277,-0.020392823,0.020392823,0.18572261,0.18572261,0.862497072,8.985949231,8.970764662,3.985949231,3.985949231,3.970764662,3.970764662,7.917618668,7.940395522
3,4716eeb7-d35f-4745-aaa0-b3b89669e338,covid,-0.141871648,-0.178734798,-0.105008498,Vaccination Rate_I.C.U. Capacity Ratio,-0.140887392,hop,-0.687044365,-0.82570461,-0.548384119,0.545172716,0.545172716,0.277320491,0.0737263,-0.203594191,0.203594191,0.546156972,0.546156972,0.998197851,8.985949231,8.970764662,3.985949231,3.985949231,3.970764662,3.970764662,7.917618668,7.940395522
4,4716eeb7-d35f-4745-aaa0-b3b89669e338,covid,0.534578024,0.352442234,0.716713815,Vaccination Rate_Infection Rate,0.591449723,hop,-0.335784438,-0.427664779,-0.243904097,0.870362463,0.870362463,0.183760682,0.364271581,0.180510899,0.180510899,0.927234161,0.927234161,0.938665226,8.985949231,8.970764662,3.985949231,3.985949231,3.970764662,3.970764662,7.917618668,7.940395522
5,4716eeb7-d35f-4745-aaa0-b3b89669e338,covid,-0.331162422,-0.385308521,-0.277016322,Vaccination Rate_Case Density,-0.337427469,hop,-0.133801954,-0.247188659,-0.020415249,-0.197360468,0.197360468,0.22677341,0.108292199,-0.118481211,0.118481211,-0.203625515,0.203625515,0.969232506,8.985949231,8.970764662,3.985949231,3.985949231,3.970764662,3.970764662,7.917618668,7.940395522
6,4716eeb7-d35f-4745-aaa0-b3b89669e338,union,-0.180230479,-0.204850171,-0.155610786,Union Membership Rate_State GDP Growth,-0.113353841,hop,-0.2739956,-0.492126854,-0.055864346,0.093765121,0.093765121,0.436262508,0.049239385,-0.387023123,0.387023123,0.160641759,0.160641759,0.583690827,8.667073733,8.636704593,3.667073733,3.667073733,3.636704593,3.636704593,0.349244175,0.182214836
7,4716eeb7-d35f-4745-aaa0-b3b89669e338,union,-0.548223619,-0.624385336,-0.472061902,Union Membership Rate_Poverty Rate,-0.415636848,hop,0.450428773,0.292575555,0.608281991,-0.998652392,0.998652392,0.315706436,0.152323434,-0.163383002,0.163383002,-0.866065621,0.866065621,1.153090907,8.667073733,8.636704593,3.667073733,3.667073733,3.636704593,3.636704593,0.349244175,0.182214836
8,4716eeb7-d35f-4745-aaa0-b3b89669e338,union,0.182384449,0.138809929,0.225958969,Union Membership Rate_Unemployment Rate,0.125821494,hop,0.147163767,-0.052222197,0.346549731,0.035220682,0.035220682,0.398771928,0.087149039,-0.311622889,0.311622889,-0.021342273,0.021342273,1.650277881,8.667073733,8.636704593,3.667073733,3.667073733,3.636704593,3.636704593,0.349244175,0.182214836
9,4716eeb7-d35f-4745-aaa0-b3b89669e338,union,0.476377822,0.416712056,0.536043588,Union Membership Rate_Median Income,0.460953319,hop,0.139431809,0.051029387,0.227834231,0.336946013,0.336946013,0.176804844,0.119331531,-0.057473313,0.057473313,0.321521511,0.321521511,1.04797347,8.667073733,8.636704593,3.667073733,3.667073733,3.636704593,3.636704593,0.349244175,0.182214836
